Award_ID,Function_Name,Status,Start_Time,Duration_Seconds,Error_Message
101,scrape101,Success,2026-02-05 13:43:00.413716,2155.718251,
1123,scrape1123,Success,2026-02-05 14:18:56.161680,5.327054,
1151,scrape1151,Success,2026-02-05 14:19:01.518391,0.324571,
1182,scrape1182,Failure,2026-02-05 14:19:01.869588,15.248116,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
1186,scrape1186,Failure,2026-02-05 14:19:17.142569,18.606662,"PyAutoGUI fail-safe triggered from mouse moving to a corner of the screen. To disable this fail-safe, set pyautogui.FAILSAFE to False. DISABLING FAIL-SAFE IS NOT RECOMMENDED."
1194,scrape1194,Success,2026-02-05 14:19:35.773674,8.264334,
1234,scrape1234,Failure,2026-02-05 14:19:44.064314,7.473244,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":"".past-award-winners""}
  (Session info: chrome=144.0.7559.110); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x7ff7e1eef3d5
	0x7ff7e1eef430
	0x7ff7e1c910bd
	0x7ff7e1cec2fe
	0x7ff7e1cec60c
	0x7ff7e1d3d187
	0x7ff7e1d39d08
	0x7ff7e1cdcb0c
	0x7ff7e1cdda53
	0x7ff7e21cb470
	0x7ff7e21c586d
	0x7ff7e21e621a
	0x7ff7e1f0b235
	0x7ff7e1f13a5c
	0x7ff7e1ef8844
	0x7ff7e1ef89f6
	0x7ff7e1edeb87
	0x7ff825e3e8d7
	0x7ff8269ec53c
"
1393,scrape1393,Success,2026-02-05 14:19:51.567945,0.574994,
1428,scrape1428,Success,2026-02-05 14:19:52.171839,0.901138,
1429,scrape1429,Success,2026-02-05 14:19:53.096710,0.857233,
1437,scrape1437,Success,2026-02-05 14:19:53.986386,0.836193,
1438,scrape1438,Success,2026-02-05 14:19:54.852379,0.873174,
147,scrape147,Success,2026-02-05 14:19:55.750999,2.45807,
